SegmentInL1	SegmentInL2
Personne n'a jamais compris pourquoi.	No one has ever understood why.
Antigone a levé sans étonnement ses yeux graves sur lui et elle lui a dit « oui » avec un petit sourire triste...	"Antigone raised her serious eyes towards him without surprise and said ""yes"", with a poor, sad little smile."
L'orchestre attaquait une nouvelle danse, Ismène riait aux éclats, là-bas, au milieu des autres garçons, et voilà, maintenant, lui, il allait être le mari d'Antigone.	The orchestra started up a new dance, you could hear Ismene laughing over there, in the middle of the other boys, and well, now he is going to be the husband of Antigone,
Il ne savait pas qu'il ne devait jamais exister de mari d'Antigone sur cette terre et que ce titre princier lui donnait seulement le droit de mourir.	He doesn't know that there will never be any husband of Antigone on this earth, and that this title only gives him the right to die.
Cet homme robuste, aux cheveux blancs, qui médite là, près de son page, c'est Créon. C'est le roi.	The powerfully built white-haired man over there, standing lost in thought next to his page, is Creon. He is the king.
Il a des rides, il est fatigué.	His face is lined. He is tired.
Il joue au jeu difficile de conduire les hommes.	He practices the difficult art of being a leader of men.
Avant, du temps d'Œdipe, quand il n'était que le premier personnage de la cour, il aimait la musique, les belles reliures, les longues flâneries chez les petits antiquaires de Thèbes.	Before, in the time of Oedipus, when he was only the first gentleman of the court, he loved music, beautiful old volumes, looking slowly around the little bookshops of Thebes.
Mais Œdipe et ses fils sont morts.	But Oedipus and his sons are dead.
Il a laissé ses livres, ses objets, il a retroussé ses manches, et il a pris leur place.	He had left his books, his works of art, he has rolled up his sleeves and taken their place.
Quelquefois, le soir, il est fatigué, et il se demande s'il n'est pas vain de conduire les hommes.	Sometimes, in the evening, he is tired, and he wonders if it isn't pointless to try and govern men.
Si cela n'est pas un office sordide qu'on doit laisser à d'autres, plus frustes...	If it isn't a dirty job which one should leave to other, less sensitive people...
Et puis, au matin, des problèmes précis se posent, qu'il faut résoudre, et il se lève, tranquille, comme un ouvrier au seuil de sa journée.	And then, in the morning, there are specific problems that need to be solved, and he gets up calmly, like a workman at the start of his day.
La vieille dame qui tricote, à côté de la nourrice qui a élevé les deux petites, c'est Eurydice, la femme de Créon.	The old lady who's knitting next to the nurse who raised the two young girls is Eurydice, Creon's wife.
Elle tricotera pendant toute la tragédie jusqu'à ce que son tour vienne de se lever et de mourir.	She is going to knit through the whole tragedy until her turn comes to get up and die.
Elle est bonne, digne, aimante.	She is kind, worthy, loving.
Elle ne lui est d'aucun secours.	She is of no help to him whatsoever.
Créon est seul. Seul avec son petit page qui est trop petit et qui ne peut rien non plus pour lui.	Creon is alone. Alone with his little page who is too young and who anyway couldn't help him either.
Ce garçon pâle, là-bas, au fond, qui rêve adossé au mur, solitaire, c'est le Messager.	The pale boy over there at the back, who's standing dreaming on his own with his back against the wall is the Messenger.
C'est lui qui viendra annoncer la mort d'Hémon tout à l'heure.	He's going to come in by and by to tell us that Haemon is dead.
C'est pour cela qu'il n'a pas envie de bavarder ni de se mêler aux autres. Il sait déjà...	That's why he doesn't feel like hanging out with the others and chatting. He already knows...
Enfin les trois hommes rougeauds qui jouent aux cartes, leurs chapeaux sur la nuque, ce sont les gardes.	And the three red-faced men playing cards with their caps pushed back, they're the guards.
Ce ne sont pas de mauvais bougres, ils ont des femmes, des enfants, et des petits ennuis comme tout le monde, mais ils vous empoigneront les accusés le plus tranquillement du monde tout à l'heure.	They're not such bad guys. They have wives and children and their own little problems, just like everyone, but when the moment comes they will find it easy to grab hold of the person they're told to arrest.
Ils sentent l'ail, le cuir et le vin rouge et ils sont dépourvus de toute imagination.	They smell of garlic and leather and red wine and have no imagination at all.
Ce sont les auxiliaires toujours innocents et toujours satisfaits d'eux-mêmes, de la justice.	They are the instruments of justice, always innocent and always quite pleased with themselves.
Pour le moment, jusqu'à ce qu'un nouveau chef de Thèbes dûment mandaté leur ordonne de l'arrêter à son tour, ce sont les auxiliaires de la justice de Créon.	For the moment, until a new and duly appointed king of Thebes tells them to arrest him in his turn, they are Creon's instruments of justice.
Et maintenant que vous les connaissez tous, ils vont pouvoir vous jouer leur histoire.	And now that you know everyone, they will be able to act out their story.
Elle commence au moment où les deux fils d'Œdipe, Etéocle et Polynice, qui devaient régner sur Thèbes un an chacun à tour de rôle, se sont battus et entre-tués sous les murs de la ville, Etéocle l'aîné, au terme de la première année de pouvoir, ayant refusé de céder la place à son frère.	It begins at the moment when the two sons of Oedipus, Eteocles and Polynices, who were supposed to take turns ruling Thebes one year at a time, fought each other to the death under the walls of the city, because Eteocles, the older one, had at the end of his first year of power refused to give up his place to his brother.
Sept grands princes étrangers que Polynice avait gagnés à sa cause ont été défaits devant les sept portes de Thèbes.	Seven great princes from foreign parts, whom Polynices had won over to his cause, were defeated before the seven gates of Thebes.
Maintenant la ville est sauvée, les deux frères ennemis sont morts et Créon, le roi, a ordonné qu'à Etéocle, le bon frère, il serait fait d'imposantes funérailles, mais que Polynice, le vaurien, le révolté, le voyou, serait laissé sans pleurs et sans sépulture, la proie des corbeaux et des chacals...	Now the city has been saved, the two brothers who became enemies are dead, and King Creon has ordered that Eteocles, the good brother, will be buried with full honours, while Polynices, the good-for-nothing traitor, will be left without tomb or ceremony to be the prey of the crows and the jackals.
Quiconque osera lui rendre les devoirs funèbres sera impitoyablement puni de mort.	Anyone who dares to give him a proper funeral will be pitilessly put to death.
TABLEAU II : LA NOURRICE, ANTIGONE	SCENE II: THE NURSE, ANTIGONE
Pendant que le Prologue parlait, les personnages sont sortis un à un. Le Prologue disparaît aussi.	While the Prologue has been talking, the actors have left one by one. The Prologue leaves too.
L'éclairage s'est modifié sur la scène. C'est maintenant une aube grise et livide dans une maison qui dort.	The lighting on the stage has changed. It is now a pale, grey dawn in a sleeping house.
Antigone entr'ouvre la porte et rentre de l'extérieur sur la pointe de ses pieds nus, ses souliers à la main.	Antigone opens the door a crack and steals in bare-footed, on tip-toe, her sandals in her hand.
Elle reste un instant immobile à écouter. LA NOURRICE surgit.	She stands motionless for a moment, listening, The NURSE rushes out.
LA NOURRICE	THE NURSE
D'où viens-tu ?	Where have you been?
ANTIGONE	ANTIGONE
De me promener, nourrice. C'était beau. Tout était gris.	I've been for a walk, nurse. It was lovely. Everything was grey.
Maintenant, tu ne peux pas savoir, tout est déjà rose, jaune, vert.	Now you won't recognise it, it's already all pink, yellow, green.
C'est devenu une carte postale.	It's like a postcard.
Il faut te lever plus tôt, nourrice, si tu veux voir un monde sans couleurs.	You need to get up earlier, nurse, if you want to see a world without colours.
Elle va passer	She tries to go past her.
LA NOURRICE	THE NURSE
Je me lève quand il fait encore noir, je vais à ta chambre, pour voir si tu ne t'es pas découverte en dormant et je ne te trouve plus dans ton lit !	I get up when it's still dark, I go to your room to see if you've kicked off the covers again, and I find you're not in your bed!
ANTIGONE	ANTIGONE
Le jardin dormait encore. Je l'ai surpris, nourrice. Je l'ai vu sans qu'il s'en doute.	The garden was still asleep. I surprised it, nurse. I saw it before it realised I was there.
C'est beau un jardin qui ne pense pas encore aux hommes.	Gardens are beautiful when they aren't thinking about people yet.
LA NOURRICE	THE NURSE
Tu es sortie. J'ai été à la porte du fond, tu l'avais laissée entrebâillée.	You went out. I was at the back door, you left it ajar.
ANTIGONE	ANTIGONE
Dans les champs, c'était tout mouillée, et cela attendait. Tout attendait.	The fields were all covered in dew, they were waiting. Everything was waiting.
Je faisais un bruit énorme toute seule sur la route et j'étais gênée parce que je savais bien que ce n'était pas moi qu'on attendait.	I made a huge noise, walking down the road all on my own, and I was embarrassed because I know they weren't waiting for me.
Alors j'ai enlevé mes sandales et je me suis glissée dans la campagne sans qu'elle s'en aperçoive...	So I took off my sandals and slipped into a field without it noticing.
LA NOURRICE	THE NURSE
Il va falloir te laver les pieds avant de te remettre au lit.	You'll need to wash your feet before you go back to bed.
ANTIGONE	ANTIGONE
Je ne me recoucherai pas ce matin.	I'm not going back to bed this morning.
LA NOURRICE	THE NURSE
A quatre heures ! Il n'était pas quatre heures !	At four a.m.! It's not even four!
Je me lève pour voir si elle n'était pas découverte. Je trouve son lit froid et personne dedans.	I get up to see if she's kicked off the covers. I find her bed cold and no one there.
ANTIGONE	ANTIGONE
Tu crois que si on se levait comme ça tous les matins, ce serait tous les matins aussi beau, nourrice, d'être la première fille dehors ?	Do you think if you got up like that every morning, nurse, it would be as lovely to be the first girl outdoors?
LA NOURRICE	THE NURSE
La nuit ! C'était la nuit !	Night! It was still night!
Et tu veux me faire croire que tu as été te promener, menteuse ! D'où viens-tu ?	And you want me to think you just went out for a walk, you little liar! Where have you been?
ANTIGONE,	ANTIGONE,
a un étrange sourire.	with a strange smile
C'est vrai, c'était encore la nuit. Et il n'y avait que moi dans toute la campagne à penser que c'était le matin.	It's true, it was still night. And no one in the country except me was thinking it was morning.
C'est merveilleux, nourrice. J'ai cru au jour la première aujourd'hui.	It was wonderful, nurse. I was the first person today who thought it was light.
LA NOURRICE	THE NURSE
Fais la folle ! Fais la folle ! Je la connais, la chanson. J'ai été fille avant toi.	That's right! Pretend you're crazy! I know that trick. I was a girl once too.
Et pas commode non plus, mais dure tête comme toi, non. D'où viens-tu, mauvaise ?	Not an easy one to deal with, but not as stubborn as you either. Bad girl! Where were you?
ANTIGONE,	ANTIGONE,
soudain grave.	suddenly serious.
Non. Pas mauvaise.	No. Not bad.
LA NOURRICE	THE NURSE
Tu avais un rendez-vous, hein ? Dis non, peut-être.	You went out to meet someone, didn't you? Try to say you didn't.
ANTIGONE,	ANTIGONE,
doucement.	softly.
Oui. J'avais un rendez-vous.	Yes. I went out to meet someone.
LA NOURRICE	THE NURSE
Tu as un amoureux ?	You have a lover?
ANTIGONE,	ANTIGONE,
étrangement, après un silence.	in a strange voice, after a silence.
Oui, nourrice, oui, le pauvre. J'ai un amoureux.	Yes nurse, yes, the poor guy. I have a lover.
LA NOURRICE,	THE NURSE,
éclate.	losing her temper.
Ah ! c'est du joli ! c'est du propre !	Ah! That's nice, isn't it! That's great!
Toi, la fille d'un roi !	You, the daughter of a king!
Donnez-vous du mal ; donnez-vous du mal pour les élever ! Elles sont toutes les mêmes !	You do what you can : you do what you can to bring them up! They're all the same!
Tu n'étais pourtant pas comme les autres, toi, à t'attifer toujours devant la glace, à te mettre du rouge aux lèvres, à chercher à ce qu'on te remarque.	But you weren't like the others, always checking your makeup in front of a mirror, touching up your lipstick, hoping someone would notice you.
Combien de fois je me suis dit : « Mon Dieu, cette petite, elle n'est pas assez coquette ! Toujours avec la même robe, et mal peignée. Les garçons ne verront qu'Ismène avec ses bouclettes et ses rubans et ils me la laisseront sur les bras. »	"How many times have I told myself: ""Dear God, the little one, she's not enough of a flirt! Always the same dress and she doesn't even comb her hair. The boys won't see anyone but Ismene with her curls and her ribbons and they'll leave me to look after the other one."
Hé bien, tu vois, tu étais comme ta sœur, et pire encore, hypocrite ! Qui est-ce ? Un voyou, hein, peut-être? Un garçon que tu ne peux pas dire à ta famille : « Voilà, c'est lui que j'aime, je veux l'épouser. » C'est ça, hein, c'est ça ? Réponds donc, fanfaronne !	"And now you're just like your sister. Worse even! Who is he? Someone from the wrong side of the tracks, a boy you can't take home and tell your family: ""Here he is, he's the one I love, I want to marry him."" That's it, isn't it? Answer me, girl!"
ANTIGONE,	ANTIGONE,
a encore un sourire imperceptible.	still with an imperceptible smile.
Oui, nourrice.	Yes, nurse.
LA NOURRICE	THE NURSE
Et elle dit oui ! Miséricorde ! Je l'ai eue toute gamine ; j'ai promis à sa pauvre mère que j'en ferais une honnête fille, et voilà !	And she says yes! Lord help me! I've looked after her since she was a tiny thing : I promised her poor mother I'd bring her up to be a good girl, and here we are!
Mais ça ne va pas se passer comme ça, ma petite.	But I'm not putting up with this, my dear.
Je ne suis que ta nourrice, et tu me traites comme une vieille bête ; bon ! mais ton oncle, ton oncle Créon saura, je te le promets !	I'm just your nurse, and you can treat me how you like. Fine. But let me tell you now, your uncle Creon is going to know about it.
ANTIGONE,	ANTIGONE,
soudain un peu lasse	suddenly a bit tired
Oui, nourrice, mon oncle Créon saura. Laisse-moi, maintenant.	Yes nurse, my uncle Creon is going to know about it. Now I want to be alone.
LA NOURRICE	THE NURSE
Et tu verras ce qu'il dira quand il apprendra que tu te lèves la nuit.	And you'll see what he says when he hears you've been out at night.
Et Hémon ? Et ton fiancé? Car elle est fiancée ! Elle est fiancée et à quatre heures du matin elle quitte son lit pour aller courir avec un autre.	And Haemon? Your fiancé? Because she's engaged! She's engaged, and at four in the morning she gets up to meet someone else.
Et ça vous répond qu'on la laisse, ça voudrait qu'on ne dise rien.	And then she tells you to leave her alone, she doesn't want you to say anything.
Tu sais ce que je devrais faire ? Te battre comme lorsque tu étais petite.	You know what I should do? Give you a good smacking like when you were little.
ANTIGONE	ANTIGONE
Nounou, tu ne devrais pas trop crier. Tu ne devrais pas être trop méchante ce matin.	Please nurse, you shouldn't shout so much. You shouldn't be too angry this morning.
LA NOURRICE	THE NURSE
Pas crier ! Je ne dois pas crier par dessus le marché ! Moi qui avais promis à ta mère...	Don't shout! On top of everything, I shouldn't shout! Me who promised your mother...
Qu'est-ce qu'elle me dirait, si elle était là ?	What would she say if she were here now?
« Vieille bête, oui, vieille bête, qui n'as pas su me la garder pure, ma petite. Toujours à crier, à faire le chien de garde, à leur tourner autour avec des lainages pour qu'elles ne prennent pas froid ou des laits de poule pour les rendre fortes ; mais à quatre heures du matin tu dors, vieille bête, tu dors, toi qui ne peux pas fermer l'œil, et tu les laisses filer, marmotte, et quand tu arrives, le lit est froid ! »	You useless old thing, yes, you useless old thing, you were supposed to make sure my little one was a good girl. Always shouting, always doing guard dog duty, telling them to wear their woolens so they don't catch cold and whisking eggs so they'd grow up strong, but at four in the morning you're asleep on the job, you useless old thing, you're the one who never needs sleep but you're asleep, and you let her escape, and when you get there her bed is cold!
Voilà ce qu'elle me dira ta mère, là-haut, quand j'y monterai, et moi j'aurai honte, honte à en mourir si je n'étais pas déjà morte, et je ne pourrai que baisser la tête et répondre : « Madame Jocaste, c'est vrai. »	"That's what she'll tell me, your mother, when I go up there to meet her, and I'll be so ashamed, so ashamed I'll want to die if I wasn't dead already, and all I'll be able to do is hang my head and say, ""yes Ma'am Jocasta, it's true."""
ANTIGONE	ANTIGONE
Non, nourrice. Ne pleure plus. Tu pourras regarder maman bien en face, quand tu iras la retrouver.	No nurse. Please stop. You'll be able to look my mother in the eye when you go to meet her.
Et elle te dira : « Bonjour, nounou, merci pour la petite Antigone. Tu as bien pris soin d'elle. »	"And she'll say ""Welcome, nurse, thank you for what you did for little Antigone. You took good care of her."""
Elle sait pourquoi je suis sorti ce matin.	She knows why I went out this morning.
LA NOURRICE	THE NURSE
Tu n'as pas d'amoureux ?	You don't have a lover?
ANTIGONE	ANTIGONE
Non, nounou.	No, nurse.
LA NOURRICE	THE NURSE
Tu te moques de moi, alors ? Tu vois, je suis trop vieille.	You're making fun of me then? You know, I'm too old for this kind of thing.
Tu étais ma préférée, malgré ton sale caractère. Ta sœur était plus douce, mais je croyais que c'était toi qui m'aimais.	You were always my favourite, even though you're so mean. Your sister was nicer, but I thought you were the one who really loved me.
Si tu m'aimais, tu m'aurais dit la vérité. Pourquoi ton lit était-il froid quand je suis venu te border ?	If you love me, you'll tell me the truth. Why was your bed cold when I came to tuck you in?
ANTIGONE	ANTIGONE
Ne pleure plus, s'il te plaît, nounou.	Please don't cry any more, nurse.
(Elle l'embrasse)	She kisses her.
Allons, ma vieille bonne pomme rouge. Tu sais quand je te frottais pour que tu brilles ? Ma vieille pomme toute ridée.	Come on, my old red apple. You know when I used to polish you to make you shine? My wrinkled old red apple.
Ne laisse pas couler tes larmes dans toutes les petites rigoles, pour des bêtises comme cela pour rien.	Don't let your tears trickle down all those little furrows for silly things like that, for nothing really.
Je suis pure, je n'ai pas d'autre amoureux qu'Hémon, mon fiancé, je te le jure. Je peux même te jurer, si tu veux, que je n'aurai jamais d'autre amoureux...	I'm not a bad girl. I don't have any other lover except Haemon, my fiancé, I promise. If you like, I can even promise I'll never have any other lover.
Garde tes larmes, garde tes larmes ; tu en auras peut-être besoin encore, nounou.	Save your tears, please save your tears, Maybe you'll need them later, nurse.
Quand tu pleures comme cela, je redeviens petite... Et il ne faut pas que je sois petite ce matin.	When you cry like that, I feel I'm little again. And I can't be little this morning.
(Entre Ismène.)	(Enter Ismene.)
TABLEAU III : LA NOURRICE, ANTIGONE, ISMENE	SCENE III: THE NURSE, ANTIGONE, ISMENE
ISMENE	ISMENE
Tu es déjà levée ? Je viens de ta chambre.	You're up already? I just went to your bedroom.
ANTIGONE	ANTIGONE
Oui, je suis déjà levée.	Yes, I'm up already.
LA NOURRICE	THE NURSE
Toutes les deux alors ! ... Toutes les deux vous allez devenir folles et vous lever avant les servantes ?	Now it's both of them! Have you girls gone mad, getting up before the servants?
Vous croyez que c'est bon d'être debout le matin à jeun, que c'est convenable pour des princesses ?	You think you should be standing here before you've even had breakfast, that's what princesses should do now?
Vous n'êtes seulement pas couvertes. Vous allez voir que vous allez encore me prendre mal.	You aren't even dressed. You'll see, you'll be the death of me yet.
ANTIGONE	ANTIGONE
Laisse-nous, nourrice. Il ne fait pas froid, je t'assure ; c'est déjà l'été. Va nous faire du café.	Leave us alone now, nurse. I promise you, it's not cold, it's already summer. Make us some coffee.
(Elle s'est assise, soudain fatiguée)	(She sits down, suddenly exhausted)
Je voudrais bien un peu de café, s'il te plaît, nounou. Cela me ferait du bien.	Please nurse, I'd love a cup of coffee. It'd do me good.
LA NOURRICE	THE NURSE
Ma colombe ! La tête lui tourne d'être sans rien et je suis là comme une idiote au lieu de lui donner quelque chose de chaud.	My little dove! She's so hungry she's about to faint, and I just stand here like an idiot instead of getting her something hot.
Elle sort vite.	Exits quickly.
TABLEAU IV : ANTIGONE, ISMENE	SCENE IV: ANTIGONE, ISMENE
ISMENE	ISMENE
Tu es malade ?	You're sick?
ANTIGONE	ANTIGONE
Ce n'est rien. Un peu de fatigue.	It's okay. A bit tired.
(Elle sourit)	(She smiles)
C'est parce que je me suis levée tôt.	I got up early, that's all.
ISMENE	ISMENE
Moi non plus, je n'ai pas dormi.	I couldn't sleep either
ANTIGONE,	ANTIGONE,
sourit encore.	still smiling
Il faut que tu dormes. Tu serais moins belle demain.	You should sleep. You won't be as beautiful tomorrow.
ISMENE	ISMENE
Ne te moque pas.	Don't tease me.
ANTIGONE	ANTIGONE
Je ne me moque pas. Cela me rassure ce matin, que tu sois belle.	I'm not teasing you. It makes me feel better this morning to see you looking beautiful.
Quand j'étais petite, j'étais si malheureuse, tu te souviens ? Je te barbouillais de terre, je te mettais des vers dans le cou.	Do you remember how unhappy I was about it when I was little? I smeared you with mud, I put worms down your neck.
Une fois, je t'ai attachée à un arbre et je t'ai coupé tes cheveux, tes beaux cheveux...	Once, I tied you to a tree and cut your hair, your lovely hair...
(Elle caresse les cheveux d'Ismène)	(She strokes Ismene's hair)
Comme cela doit être facile de ne pas penser de bêtises avec toutes ces belles mèches lisses et bien ordonnées autour de la tête !	It must be so easy not to think bad thoughts when you have all that beautiful silky hair just lying there around your head.
ISMENE,	ISMENE
soudain.	suddenly
Pourquoi parles-tu d'autre chose ?	Why are you talking about other things now?
ANTIGONE,	ANTIGONE,
doucement, sans cesser de lui caresser les cheveux	softly, still stroking her hair
Je ne parle pas d'autre chose...	I'm not talking about other things...
ISMENE	ISMENE
Tu sais, j'ai bien pensé, Antigone.	You know, I've thought about it a lot, Antigone.
ANTIGONE	ANTIGONE
Oui.	Yes.
ISMENE	ISMENE
J'ai bien pensé toute la nuit. Tu es folle.	I've thought about it all night. You're crazy.
ANTIGONE	ANTIGONE
Oui.	Yes.
ISMENE	ISMENE
Nous ne pouvons pas.	We can't do it.
ANTIGONE,	ANTIGONE,
après un silence, de sa petite voix.	After a silence, in her little girl voice.
Pourquoi ?	Why not?
ISMENE	ISMENE
Il nous ferait mourir.	They'll put us to death.
ANTIGONE	ANTIGONE
Bien sûr. A chacun son rôle. Lui, il doit nous faire mourir, et nous, nous devons aller enterrer notre frère.	Of course. Everyone has their part to play. He has to put us to death, and we have to bury our brother.
C'est comme ça que ç'a été distribué. Qu'est-ce que tu veux que nous y fassions ?	That's the way it works out. What are we supposed to do about it?
ISMENE	ISMENE
Je ne veux pas mourir.	I don't want to die.
ANTIGONE,	ANTIGONE,
doucement.	softly.
Moi aussi j'aurais bien voulu ne pas mourir.	I don't want to die either.
ISMENE	ISMENE
Ecoute, j'ai bien réfléchi toute la nuit. Je suis l'aînée. Je réfléchis plus que toi.	Look, I've been thinking about it all night. I'm older than you. I think more than you do.
Toi, c'est ce qui te passe par la tête tout de suite, et tant pis si c'est une bêtise. Moi, je suis plus pondérée. Je réfléchis.	You just do whatever comes into your head, and too bad if it's stupid. I'm more careful. I think about it first.
ANTIGONE	ANTIGONE
Il y a des fois où il ne faut pas trop réfléchir.	Sometimes you shouldn't think about it first.
ISMENE	ISMENE
Si, Antigone. D'abord c'est horrible, bien sûr, et j'ai pitié moi aussi de mon frère, mais je comprends un peu notre oncle.	You should, Antigone. It's horrible of course, and I feel so sorry for my brother too, but I sort of understand our uncle.
ANTIGONE	ANTIGONE
Moi je ne veux pas comprendre un peu.	I don't want to sort of understand.
ISMENE	ISMENE
Il est le roi, il faut qu'il donne l'exemple.	He's the king. He needs to set an example.
ANTIGONE	ANTIGONE
Moi, je ne suis pas le roi. Il ne faut pas que je donne l'exemple, moi...	Well, I'm not the king. I don't need to set an example...
Ce qui lui passe par la tête, la petite Antigone, la sale bête, l'entêtée, la mauvaise, et puis on la met dans un coin ou dans un trou.	Little Antigone just does whatever comes into her head. She's a silly girl, a stubborn girl, a bad girl, and then they put her in a corner or in a hole.
Et c'est bien fait pour elle. Elle n'avait qu'à ne pas désobéir.	And it serves her right. She just had to do what she was told.
ISMENE	ISMENE
Allez ! Allez ! ... Tes sourcils joints, ton regard droit devant toi et te voilà lancée sans écouter personne. Ecoute-moi. J'ai raison plus souvent que toi.	Come on! Come on! ... You're frowning, you're staring straight ahead of you, and then off you go without listening to anyone. Listen to me. You know I'm right more often than you are.
ANTIGONE	ANTIGONE
Je ne veux pas avoir raison.	I don't want to be right.
ISMENE	ISMENE
Essaie de comprendre au moins !	Try to understand at least!
ANTIGONE	ANTIGONE
Comprendre... Vous n'avez que ce mot-là dans la bouche, tous, depuis que je suis toute petite.	Understand... that's all anyone's ever said to me, since I was a little girl.
Il fallait comprendre qu'on ne peut pas toucher à l'eau, à la belle et fuyante eau froide parce que cela mouille les dalles, à la terre parce que cela tache les robes.	You have to understand that you can't touch the beautiful flowing cold water because it would get the floor wet, you can't touch the earth because your dress would get dirty.
Il fallait comprendre qu'on ne doit pas manger tout à la fois, donner tout ce qu'on a dans ses poches au mendiant qu'on rencontre, courir, courir dans le vent jusqu'à ce qu'on tombe par terre et boire quand on a chaud et se baigner quand il est trop tôt ou trop tard, mais pas juste quand on en a envie !	You have to understand that you can't eat everything at once, or give all the money in your pocket to the beggar, or run, run like the wind until you fall down on the ground, and you have to drink when you're hot and take a bath when it's too early or too late but never when you actually want to.
Comprendre. Toujours comprendre. Moi, je ne veux pas comprendre. Je comprendrai quand je serai vieille.	Understand. You always have to understand. I don't want to understand. I'll understand when I'm old.
(Elle achève doucement.)	(She adds softly.)
Si je deviens vieille. Pas maintenant.	If I ever get to be old. Not now.
ISMENE	ISMENE
Il est plus fort que nous, Antigone. Il est le roi.	He's stronger than us, Antigone. He's the king.
Et ils pensent tous comme lui dans la ville. Ils sont des milliers et des milliers autour de nous, grouillant dans toutes les rues de Thèbes.	And they all think like him in the city. There's thousands and thousands of those people all round us, the streets of Thebes are crawling with them.
ANTIGONE	ANTIGONE
Je ne t'écoute pas.	I'm not listening to you.
ISMENE	ISMENE
Ils nous hueront. Ils nous prendront avec leurs mille bras, leurs mille visages et leur unique regard. Ils nous cracheront à la figure.	They'll shout at us. They'll catch hold of us with their thousand arms and their thousand pairs of eyes like they belonged to one person. They'll spit us in the face.
Et il faudra avancer dans leur haine sur la charrette avec leur odeur et leurs rires jusqu'au supplice.	And they'll wheel us on the cart through all their hate and their laughing and their disgusting smells until we reach the scaffold.
Et là, il y aura les gardes avec leurs têtes d'imbéciles, congestionnés sur leurs cols raides, leurs grosses mains lavées, leur regard de bœuf - qu'on sent qu'on pourra toujours crier, essayer de leur faire comprendre, qu'ils vont comme des nègres et qu'ils feront tout ce qu'on leur a dit scrupuleusement, sans savoir si c'est bien ou mal...	And there'll be the guards there with their idiotic expressions and their fat necks jammed into their stiff collars and their big ugly hands, looking at us like cows. And we'll feel we could scream, we could try to make them understand, but they'd just carry on like savages and do whatever they were told to do without knowing it it was good or bad...
